article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-b7e0c926f4b69b1f,Healthcare,neutral,neutral,Healthcare,macro risk,"The San Antonio acquisition marks the third and fourth properties acquired through Big Sky Fund III since its launch in December 2025 SAN ANTONIO, July 09, 2026 (GLOBE NEWSWIRE) -- Big Sky Medical is pleased to announce the acquisition of RidgeWood Medical Center I & II, a premier two-building medical outpatient campus located in San Antonio, Texas.",0.602,0.382,0.602,0.016
rss-ddc07b7f6bef8402,Utilities,negative,negative,Utilities,macro risk,"The utility dropped its proposed residential rate increase to 11.6% from 18% after pushback, but hearings this week highlighted continued unease.",0.617,0.315,0.068,0.617
rss-f919edfebb5d4814,Real Estate,negative,negative,Real Estate,interest rate risk,A refinancing headwind and a leadership transition raise real questions about whether the premium valuation can hold.,0.68,0.051,0.27,0.68
rss-e0f7ec7e72acf301,Real Estate,positive,positive,Real Estate,macro risk,European bourses tracked evenly midday Wednesday after property stocks gained on a real estate secto European bourses tracked evenly midday Wednesday after property stocks gained on a real estate secto,0.816,0.816,0.054,0.13
rss-952647657710da30,Consumer Staples,positive,positive,Consumer Staples,macro risk,"inflation tops 4%, rate hike expectations rise and earnings estimates improve.",0.719,0.719,0.252,0.029
rss-f4a3a6deb2dd301f,Consumer Discretionary,neutral,neutral,Consumer Discretionary,macro risk,SpaceX (NASDAQ:SPCX) will make its Grok 4.,0.86,0.13,0.86,0.01
rss-71056dbccc274345,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,"Micron stock is in a technical bear market, meaning it is more than 20% down from its recent closing high.",0.974,0.008,0.018,0.974
rss-5771a9e5766bd2c5,Technology,neutral,neutral,Technology,macro risk,"The company is taking a modular approach to designing these chips, anticipating that their needs will change as AI evolves rapidly by the time the chips are in production.",0.826,0.163,0.826,0.011
rss-0ba674750a6ff421,Utilities,positive,positive,Utilities,interest rate risk,Wednesday's Fed minutes showed a divided outlook on where interest rates are headed this year.,0.5,0.5,0.098,0.402
rss-8f14a0f9805c4d63,Unmapped,positive,positive,Unmapped,macro risk,"A Chinese company demonstrated controlled recovery of a rocket’s bottom portion, which is critical in helping to drive down launch costs.",0.918,0.918,0.063,0.019
rss-a068954cb72c2a22,Financials,negative,negative,Financials,macro risk,Citi cut the price target on Noble Corporation plc (NYSE:NE) to $45 from $52 on June 30 and maintained a Neutral rating on the shares.,0.401,0.24,0.36,0.401
rss-f1c70eb9239aa361,Materials,neutral,neutral,Materials,commodity risk,"The AI trade almost nobody talks about is the copper that moves electrons from a substation to a GPU rack, and the Global X Copper Miners ETF (NYSE:COPX) is the cleanest liquid vehicle for owning it.",0.906,0.033,0.906,0.061
rss-bcbad0266166cbd0,Financials,neutral,neutral,Financials,valuation risk,listing will close a valuation gap with peer Micron Technology.,0.483,0.413,0.483,0.104
rss-5ceae483662bf5ad,Consumer Discretionary,positive,positive,Consumer Discretionary,macro risk,"Nike’s turnaround is showing signs of progress, but not enough for Wall Street to call it a clean comeback.",0.605,0.605,0.129,0.266
rss-099d98f9ed5f0212,Financials,positive,positive,Financials,interest rate risk,The asset manager shifts toward higher-yielding currencies while expecting South Korea's won to outperform into 2027.,0.784,0.784,0.046,0.169
rss-a8b2b206b83eef17,Healthcare,positive,positive,Healthcare,macro risk,"Before the share price caught on, the drugmaker was dealing with a problem most companies only dream of, and it was the clearest sign a surge was building.",0.54,0.54,0.177,0.283
rss-1c382580f9b2b849,Industrials,negative,negative,Industrials,macro risk,A Wall Street downgrade of Siemens Energy has sparked a sell of in shares of power generation equipment providers.,0.96,0.015,0.026,0.96
rss-c3422614e6c8d6b5,Energy,positive,positive,Energy,macro risk,"Sustainability trends and regional dominance, particularly in North America, further drive growth.",0.604,0.604,0.384,0.011
rss-9c5f4230ba908de9,Industrials,positive,positive,Industrials,macro risk,"Known internally as the North Line, the facility forms part of Boeing’s long-term plan to increase output of its best-selling narrow-body aircraft as airlines continue to place strong orders amid sustained global demand.",0.931,0.931,0.058,0.011
rss-c96ca688c0ea99c1,Materials,negative,negative,Materials,macro risk,"European equities traded in the US as American depositary receipts were lower late Tuesday morning, European equities traded in the US as American depositary receipts were lower late Tuesday morning,",0.955,0.028,0.018,0.955
rss-bcdb07ab8c38074b,Consumer Staples,negative,negative,Consumer Staples,macro risk,"A plant closure not only changes a company’s manufacturing map but also reshapes the local job picture in a single city, especially when the facility has operated as part of a larger food or beverage production network.",0.867,0.061,0.072,0.867
rss-592597de5fa4a6bc,Industrials,neutral,neutral,Industrials,valuation risk,"Both ride aerospace tailwinds, but their balance sheets and valuations tell very different stories.",0.842,0.09,0.842,0.068
rss-9e97eb2bf9c21535,Utilities,neutral,neutral,Utilities,macro risk,"ET on Tuesday, Aug.",0.933,0.033,0.933,0.034
rss-de1ed0cba57e6943,Technology,positive,positive,Technology,macro risk,Marvell Technology's five AI infrastructure growth engines underpin plans for 40% revenue growth in fiscal 2027 and 45% in fiscal 2028.,0.853,0.853,0.136,0.011
rss-58be06a46f3ff671,Consumer Staples,neutral,neutral,Consumer Staples,macro risk,"Why Costco Shares Are Stuck Despite Blowout Fundamentals Q3 FY2026 revenue hit $70.527 billion, up 11.6% ...",0.514,0.455,0.514,0.032
rss-2c66b0ce96252676,Communication Services,negative,negative,Communication Services,macro risk,OUSD could represent an existential threat to USDC.,0.481,0.091,0.428,0.481
rss-d520243c73b1f377,Healthcare,negative,negative,Healthcare,macro risk,AstraZeneca stock crashed Thursday after its Ionis-partnered treatment for a rare heart disease failed in Phase 3 testing.,0.958,0.022,0.02,0.958
rss-206e0a6efac5db1a,Unmapped,negative,negative,Unmapped,macro risk,Now I’m 89 and down to $2 million.,0.655,0.026,0.319,0.655
rss-823c4e140ffef075,Unmapped,neutral,neutral,Unmapped,macro risk,But that could sink your retirement plans.,0.525,0.067,0.525,0.408
rss-d1d31a1f87dc9b67,Technology,negative,negative,Technology,macro risk,"Microsoft is cutting jobs in its commercial business and its Xbox gaming group, where revenue has been shrinking.",0.973,0.007,0.02,0.973
rss-880a523cd9ef0a14,Energy,neutral,neutral,Energy,macro risk,ExxonMobil vs.,0.808,0.156,0.808,0.036
rss-0a1013b1b0b40a48,Materials,positive,positive,Materials,liquidity risk,DOW's strong liquidity and cash flow support growth investments and shareholder returns as rising EPS estimates add to the outlook.,0.863,0.863,0.114,0.023
rss-b6afc8404c7041d7,Energy,negative,negative,Energy,commodity risk,"Crude oil has fallen sharply from its spring highs, yet many drivers are still paying far more at the pump than they were expecting.",0.598,0.063,0.339,0.598
rss-7c184eed8ee3a861,Communication Services,neutral,neutral,Communication Services,macro risk,"Likewise, the company’s bet on the new structure has not borne fruit.",0.762,0.18,0.762,0.058
rss-7e3684bbc3d28c22,Communication Services,positive,positive,Communication Services,earnings risk,"iHeartMedia (NASDAQ:IHRT)'s second-quarter results are expected to come in largely in line with company guidance, Bank of America said in a note that highlighted an expanding partnership with Netflix as a bright spot for the audio company.",0.863,0.863,0.089,0.048
rss-03eda8d893e7bb08,Real Estate,neutral,neutral,Real Estate,liquidity risk,"SPG benefits from strong leasing, redevelopment and liquidity, but debt and e-commerce remain key risks.",0.563,0.394,0.563,0.042
rss-3a5b6af6e7fa1855,Healthcare,neutral,neutral,Healthcare,macro risk,"While this suggests attractive upside potential, it’s important to remain skeptical because analysts face institutional pressures that can sometimes lead to overly optimistic forecasts.",0.58,0.077,0.58,0.343
rss-66e80b93b45a4aa0,Utilities,negative,negative,Utilities,macro risk,"Energy stocks were lower late Monday afternoon, with the NYSE Energy Sector Index decreasing 0.2% an Energy stocks were lower late Monday afternoon, with the NYSE Energy Sector Index decreasing 0.2% an",0.974,0.009,0.017,0.974
rss-0aab4fb0b95f245f,Real Estate,negative,negative,Real Estate,interest rate risk,"The 10-year Treasury yield sits at 4%, down from a May peak of 5%, while the 2026 Social Security COLA came in at just 3%.",0.496,0.405,0.099,0.496
rss-c3934b10489a1f6a,Real Estate,positive,positive,Real Estate,macro risk,The monthly dividend company offers reliable passive income.,0.496,0.496,0.479,0.024
rss-028a5b2119515a3e,Consumer Staples,positive,positive,Consumer Staples,macro risk,"Procter & Gamble and Progressive are among the stocks that could rise after reporting earnings, according to Citi strategist Scott Chronert.",0.907,0.907,0.071,0.022
rss-29655a42d2837d30,Consumer Discretionary,neutral,neutral,Consumer Discretionary,interest rate risk,Don't fall into a high-yield trap.,0.813,0.138,0.813,0.049
rss-655de062a5ede171,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,"Days later, a convenience store chain filed a federal lawsuit trying to block one of Nike’s biggest sneaker launches of the summer.",0.656,0.035,0.309,0.656
rss-c19e6a32783c908e,Technology,neutral,neutral,Technology,macro risk,Should You Be Worried?,0.83,0.055,0.83,0.115
