snapshot_date,snapshot_timestamp,data_source,sector,article_count,optimism,fear,uncertainty,attention,disagreement,risk_intensity
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Communication Services,12,41.24283,13.012886,59.102655,22.727273,30.033289,76.280241
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Consumer Discretionary,12,45.244766,8.370421,59.610714,4.545455,20.241926,66.919341
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Consumer Staples,12,19.750352,31.120369,66.277443,13.636364,14.436903,67.37184
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Energy,12,26.028714,24.787016,61.596159,50.0,38.097679,67.828761
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Financials,12,37.774882,14.755713,61.768604,31.818182,28.140842,77.108514
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Healthcare,12,33.946678,14.386191,61.485166,40.909091,34.095999,79.306972
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Industrials,12,35.304702,17.335826,59.958532,77.272727,37.294554,77.301356
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Materials,12,33.745105,18.020483,60.435927,68.181818,37.675565,60.0
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Real Estate,12,32.526853,19.411321,61.003263,59.090909,37.123788,71.934126
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Technology,12,33.342003,14.963775,62.354488,95.454545,32.656395,55.379355
2026-07-09,2026-07-09T16:57:14+00:00,Demo 数据,Utilities,12,14.955629,28.503297,67.072234,86.363636,19.217612,75.567954
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Communication Services,205,34.723412,20.399255,50.854606,86.363636,48.72488,77.006125
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Consumer Discretionary,196,32.889929,22.752511,49.402123,68.181818,51.25568,76.999606
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Consumer Staples,144,32.209326,19.64904,52.182791,59.090909,47.029947,76.682018
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Energy,115,37.882556,27.97154,42.566528,40.909091,60.68347,73.500179
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Financials,196,36.222798,21.81989,47.900301,77.272727,51.80817,76.672226
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Healthcare,125,39.828111,12.635865,51.816449,50.0,41.592128,76.826228
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Industrials,123,37.022512,22.139807,46.857609,31.818182,54.341691,77.601875
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Materials,72,36.773883,16.689746,51.793523,4.545455,44.823026,72.766263
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Real Estate,66,34.375264,9.520596,55.233279,13.636364,35.432898,75.436907
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Technology,290,34.435441,26.507313,45.007045,95.454545,57.423599,76.86582
2026-07-09,2026-07-09T20:59:07+00:00,真实新闻,Utilities,61,36.132781,13.976435,54.948386,22.727273,36.314162,75.778043
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Communication Services,250,33.893559,21.661234,50.947571,86.363636,49.109816,76.666987
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Consumer Discretionary,220,32.82469,23.783642,49.188929,68.181818,51.330882,77.088226
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Consumer Staples,173,32.119485,20.860063,51.637801,59.090909,47.285261,77.053093
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Energy,124,39.500253,28.491995,41.065379,31.818182,61.651498,73.493317
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Financials,234,36.541864,20.785738,48.735787,77.272727,49.950121,76.153902
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Healthcare,142,38.503502,14.477646,51.129039,50.0,45.248149,77.100652
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Industrials,141,39.178563,19.8037,47.038129,40.909091,52.634858,77.106741
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Materials,74,34.429307,19.135999,51.114372,4.545455,48.043561,72.772556
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Real Estate,72,34.18481,11.37029,54.340841,13.636364,39.465405,75.639437
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Technology,382,35.364028,24.866224,45.930926,95.454545,56.275733,76.61977
2026-07-10,2026-07-10T17:15:47+00:00,真实新闻,Utilities,65,39.095722,13.228682,52.61691,22.727273,38.421645,75.383772
